"object","exemplar","state1","state2"
"kettle",1,"E:/PsychoPy/Images/kettle/e1_s1.jpg","E:/PsychoPy/Images/kettle/e1_s2.jpg"
"keys",1,"E:/PsychoPy/Images/keys/e1_s1.jpg","E:/PsychoPy/Images/keys/e1_s2.jpg"
"laptop",1,"E:/PsychoPy/Images/laptop/e1_s1.jpg","E:/PsychoPy/Images/laptop/e1_s2.jpg"
"leather_bag",1,"E:/PsychoPy/Images/leather_bag/e1_s1.jpg","E:/PsychoPy/Images/leather_bag/e1_s2.jpg"
"lemon",1,"E:/PsychoPy/Images/lemon/e1_s1.jpg","E:/PsychoPy/Images/lemon/e1_s2.jpg"
"locks",1,"E:/PsychoPy/Images/locks/e1_s1.jpg","E:/PsychoPy/Images/locks/e1_s2.jpg"
"lotion",1,"E:/PsychoPy/Images/lotion/e1_s1.jpg","E:/PsychoPy/Images/lotion/e1_s2.jpg"
"lottery_ticket",1,"E:/PsychoPy/Images/lottery_ticket/e1_s1.jpg","E:/PsychoPy/Images/lottery_ticket/e1_s2.jpg"
"lunchbox",1,"E:/PsychoPy/Images/lunchbox/e1_s1.jpg","E:/PsychoPy/Images/lunchbox/e1_s2.jpg"
"mailbox",1,"E:/PsychoPy/Images/mailbox/e1_s1.jpg","E:/PsychoPy/Images/mailbox/e1_s2.jpg"
"menorah",1,"E:/PsychoPy/Images/menorah/e1_s1.jpg","E:/PsychoPy/Images/menorah/e1_s2.jpg"
"menus",1,"E:/PsychoPy/Images/menus/e1_s1.jpg","E:/PsychoPy/Images/menus/e1_s2.jpg"
"metronome",1,"E:/PsychoPy/Images/metronome/e1_s1.jpg","E:/PsychoPy/Images/metronome/e1_s2.jpg"
"microwave",1,"E:/PsychoPy/Images/microwave/e1_s1.jpg","E:/PsychoPy/Images/microwave/e1_s2.jpg"
"mixer",1,"E:/PsychoPy/Images/mixer/e1_s1.jpg","E:/PsychoPy/Images/mixer/e1_s2.jpg"
"mustard",1,"E:/PsychoPy/Images/mustard/e1_s1.jpg","E:/PsychoPy/Images/mustard/e1_s2.jpg"
"notebook",1,"E:/PsychoPy/Images/notebook/e1_s1.jpg","E:/PsychoPy/Images/notebook/e1_s2.jpg"
"oj",1,"E:/PsychoPy/Images/oj/e1_s1.jpg","E:/PsychoPy/Images/oj/e1_s2.jpg"
"pail",1,"E:/PsychoPy/Images/pail/e1_s1.jpg","E:/PsychoPy/Images/pail/e1_s2.jpg"
"paper_cup",1,"E:/PsychoPy/Images/paper_cup/e1_s1.jpg","E:/PsychoPy/Images/paper_cup/e1_s2.jpg"
"peanut_butter",1,"E:/PsychoPy/Images/peanut_butter/e1_s1.jpg","E:/PsychoPy/Images/peanut_butter/e1_s2.jpg"
"pen",1,"E:/PsychoPy/Images/pen/e1_s1.jpg","E:/PsychoPy/Images/pen/e1_s2.jpg"
"phone",1,"E:/PsychoPy/Images/phone/e1_s1.jpg","E:/PsychoPy/Images/phone/e1_s2.jpg"
"phone_antique",1,"E:/PsychoPy/Images/phone_antique/e1_s1.jpg","E:/PsychoPy/Images/phone_antique/e1_s2.jpg"
"pie",1,"E:/PsychoPy/Images/pie/e1_s1.jpg","E:/PsychoPy/Images/pie/e1_s2.jpg"
"plastic_bottle",1,"E:/PsychoPy/Images/plastic_bottle/e1_s1.jpg","E:/PsychoPy/Images/plastic_bottle/e1_s2.jpg"
"poker_chips",1,"E:/PsychoPy/Images/poker_chips/e1_s1.jpg","E:/PsychoPy/Images/poker_chips/e1_s2.jpg"
"reeses",1,"E:/PsychoPy/Images/reeses/e1_s1.jpg","E:/PsychoPy/Images/reeses/e1_s2.jpg"
"scanner",1,"E:/PsychoPy/Images/scanner/e1_s1.jpg","E:/PsychoPy/Images/scanner/e1_s2.jpg"
"scissors",1,"E:/PsychoPy/Images/scissors/e1_s1.jpg","E:/PsychoPy/Images/scissors/e1_s2.jpg"
"sharpie_pens",1,"E:/PsychoPy/Images/sharpie_pens/e1_s1.jpg","E:/PsychoPy/Images/sharpie_pens/e1_s2.jpg"
"shoe",1,"E:/PsychoPy/Images/shoe/e1_s1.jpg","E:/PsychoPy/Images/shoe/e1_s2.jpg"
"small_box",1,"E:/PsychoPy/Images/small_box/e1_s1.jpg","E:/PsychoPy/Images/small_box/e1_s2.jpg"
"soap",1,"E:/PsychoPy/Images/soap/e1_s1.jpg","E:/PsychoPy/Images/soap/e1_s2.jpg"
"sponge",1,"E:/PsychoPy/Images/sponge/e1_s1.jpg","E:/PsychoPy/Images/sponge/e1_s2.jpg"
"sugar_bowl",1,"E:/PsychoPy/Images/sugar_bowl/e1_s1.jpg","E:/PsychoPy/Images/sugar_bowl/e1_s2.jpg"
"sugar_paper",1,"E:/PsychoPy/Images/sugar_paper/e1_s1.jpg","E:/PsychoPy/Images/sugar_paper/e1_s2.jpg"
"tape_dispenser",1,"E:/PsychoPy/Images/tape_dispenser/e1_s1.jpg","E:/PsychoPy/Images/tape_dispenser/e1_s2.jpg"
"tea_pot",1,"E:/PsychoPy/Images/tea_pot/e1_s1.jpg","E:/PsychoPy/Images/tea_pot/e1_s2.jpg"
"theater_seats",1,"E:/PsychoPy/Images/theater_seats/e1_s1.jpg","E:/PsychoPy/Images/theater_seats/e1_s2.jpg"
"tictac",1,"E:/PsychoPy/Images/tictac/e1_s1.jpg","E:/PsychoPy/Images/tictac/e1_s2.jpg"
"tissues",1,"E:/PsychoPy/Images/tissues/e1_s1.jpg","E:/PsychoPy/Images/tissues/e1_s2.jpg"
"toilet",1,"E:/PsychoPy/Images/toilet/e1_s1.jpg","E:/PsychoPy/Images/toilet/e1_s2.jpg"
"tool_box",1,"E:/PsychoPy/Images/tool_box/e1_s1.jpg","E:/PsychoPy/Images/tool_box/e1_s2.jpg"
"toy_truck",1,"E:/PsychoPy/Images/toy_truck/e1_s1.jpg","E:/PsychoPy/Images/toy_truck/e1_s2.jpg"
"tricycle",1,"E:/PsychoPy/Images/tricycle/e1_s1.jpg","E:/PsychoPy/Images/tricycle/e1_s2.jpg"
"typewriter",1,"E:/PsychoPy/Images/typewriter/e1_s1.jpg","E:/PsychoPy/Images/typewriter/e1_s2.jpg"
"umbrella",1,"E:/PsychoPy/Images/umbrella/e1_s1.jpg","E:/PsychoPy/Images/umbrella/e1_s2.jpg"
"usb_key",1,"E:/PsychoPy/Images/usb_key/e1_s1.jpg","E:/PsychoPy/Images/usb_key/e1_s2.jpg"
"wallet",1,"E:/PsychoPy/Images/wallet/e1_s1.jpg","E:/PsychoPy/Images/wallet/e1_s2.jpg"
"watch",1,"E:/PsychoPy/Images/watch/e1_s1.jpg","E:/PsychoPy/Images/watch/e1_s2.jpg"
"yarn",1,"E:/PsychoPy/Images/yarn/e1_s1.jpg","E:/PsychoPy/Images/yarn/e1_s2.jpg"
"aabacus",2,"E:/PsychoPy/Images/aabacus/e2_s1.jpg","E:/PsychoPy/Images/aabacus/e2_s2.jpg"
"accordion",2,"E:/PsychoPy/Images/accordion/e2_s1.jpg","E:/PsychoPy/Images/accordion/e2_s2.jpg"
"altoid",2,"E:/PsychoPy/Images/altoid/e2_s1.jpg","E:/PsychoPy/Images/altoid/e2_s2.jpg"
"apple",2,"E:/PsychoPy/Images/apple/e2_s1.jpg","E:/PsychoPy/Images/apple/e2_s2.jpg"
"backpack",2,"E:/PsychoPy/Images/backpack/e2_s1.jpg","E:/PsychoPy/Images/backpack/e2_s2.jpg"
"baseball_glove",2,"E:/PsychoPy/Images/baseball_glove/e2_s1.jpg","E:/PsychoPy/Images/baseball_glove/e2_s2.jpg"
"bills",2,"E:/PsychoPy/Images/bills/e2_s1.jpg","E:/PsychoPy/Images/bills/e2_s2.jpg"
"book",2,"E:/PsychoPy/Images/book/e2_s1.jpg","E:/PsychoPy/Images/book/e2_s2.jpg"
"book_object",2,"E:/PsychoPy/Images/book_object/e2_s1.jpg","E:/PsychoPy/Images/book_object/e2_s2.jpg"
"bottle_liquid",2,"E:/PsychoPy/Images/bottle_liquid/e2_s1.jpg","E:/PsychoPy/Images/bottle_liquid/e2_s2.jpg"
"bottle_perfume",2,"E:/PsychoPy/Images/bottle_perfume/e2_s1.jpg","E:/PsychoPy/Images/bottle_perfume/e2_s2.jpg"
"breadbox",2,"E:/PsychoPy/Images/breadbox/e2_s1.jpg","E:/PsychoPy/Images/breadbox/e2_s2.jpg"
"cabbage",2,"E:/PsychoPy/Images/cabbage/e2_s1.jpg","E:/PsychoPy/Images/cabbage/e2_s2.jpg"
"cabinet",2,"E:/PsychoPy/Images/cabinet/e2_s1.jpg","E:/PsychoPy/Images/cabinet/e2_s2.jpg"
"canopener",2,"E:/PsychoPy/Images/canopener/e2_s1.jpg","E:/PsychoPy/Images/canopener/e2_s2.jpg"
"car",2,"E:/PsychoPy/Images/car/e2_s1.jpg","E:/PsychoPy/Images/car/e2_s2.jpg"
"cardbox",2,"E:/PsychoPy/Images/cardbox/e2_s1.jpg","E:/PsychoPy/Images/cardbox/e2_s2.jpg"
"cell",2,"E:/PsychoPy/Images/cell/e2_s1.jpg","E:/PsychoPy/Images/cell/e2_s2.jpg"
"cereal",2,"E:/PsychoPy/Images/cereal/e2_s1.jpg","E:/PsychoPy/Images/cereal/e2_s2.jpg"
"chair_recliner",2,"E:/PsychoPy/Images/chair_recliner/e2_s1.jpg","E:/PsychoPy/Images/chair_recliner/e2_s2.jpg"
"chapstick",2,"E:/PsychoPy/Images/chapstick/e2_s1.jpg","E:/PsychoPy/Images/chapstick/e2_s2.jpg"
"chip",2,"E:/PsychoPy/Images/chip/e2_s1.jpg","E:/PsychoPy/Images/chip/e2_s2.jpg"
"chips",2,"E:/PsychoPy/Images/chips/e2_s1.jpg","E:/PsychoPy/Images/chips/e2_s2.jpg"
"chocolate",2,"E:/PsychoPy/Images/chocolate/e2_s1.jpg","E:/PsychoPy/Images/chocolate/e2_s2.jpg"
"chocolate_bar",2,"E:/PsychoPy/Images/chocolate_bar/e2_s1.jpg","E:/PsychoPy/Images/chocolate_bar/e2_s2.jpg"
"clocks",2,"E:/PsychoPy/Images/clocks/e2_s1.jpg","E:/PsychoPy/Images/clocks/e2_s2.jpg"
"cocktail_umbrella",2,"E:/PsychoPy/Images/cocktail_umbrella/e2_s1.jpg","E:/PsychoPy/Images/cocktail_umbrella/e2_s2.jpg"
"coffeemug",2,"E:/PsychoPy/Images/coffeemug/e2_s1.jpg","E:/PsychoPy/Images/coffeemug/e2_s2.jpg"
"coins",2,"E:/PsychoPy/Images/coins/e2_s1.jpg","E:/PsychoPy/Images/coins/e2_s2.jpg"
"container_open",2,"E:/PsychoPy/Images/container_open/e2_s1.jpg","E:/PsychoPy/Images/container_open/e2_s2.jpg"
